route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,trip_type
1,000001,88____:007::8841673:8200136:20:734:20171209,Luxembourg (l),106,,1,,1
1,000001,82____:007::8200136:8200100:9:842:20171209,Luxembourg (l),106,,1,,1
2,000002,88____:007::8845005:8841673:18:824:20171209,Liers,107,,2,,1
1,000003,88____:007::8841673:8200136:20:934:20171209,Luxembourg (l),108,,3,,1
1,000003,82____:007::8200136:8200100:9:1042:20171209,Luxembourg (l),108,,3,,1
1,000004,82____:007::8200100:8849072:10:832:20171209,Liers,109,,4,,1
1,000004,88____:007::8849072:8841673:19:1024:20171209,Liers,109,,4,,1
1,000005,88____:007::8841673:8200136:20:1134:20171209,Luxembourg (l),110,,5,,1
1,000005,82____:007::8200136:8200100:9:1242:20171209,Luxembourg (l),110,,5,,1
1,000006,82____:007::8200100:8849072:10:1032:20171209,Liers,111,,6,,1
1,000006,88____:007::8849072:8841673:19:1224:20171209,Liers,111,,6,,1
1,000007,88____:007::8841673:8200136:20:1334:20171209,Luxembourg (l),112,,7,,1
1,000007,82____:007::8200136:8200100:9:1442:20171209,Luxembourg (l),112,,7,,1
3,000008,88____:049::8831005:8831310:4:2152:20170814,Tongres,11218,,8,,1
3,000008,88____:049::8831005:8831310:4:2252:20170814,Tongres,11219,,9,,1
3,000008,88____:049::8831310:8831005:4:605:20170814,Hasselt,11228,,10,,1
3,000008,88____:049::8831310:8831005:4:705:20170814,Hasselt,11229,,11,,1
3,000008,88____:049::8831310:8831005:4:805:20170814,Hasselt,11230,,12,,1
3,000008,88____:049::8831310:8831005:4:905:20170814,Hasselt,11231,,13,,1
3,000008,88____:049::8831310:8831005:4:1105:20170814,Hasselt,11233,,14,,1
3,000008,88____:049::8831310:8831005:4:1205:20170814,Hasselt,11234,,15,,1
3,000008,88____:049::8831310:8831005:4:1305:20170814,Hasselt,11235,,16,,1
3,000008,88____:049::8831310:8831005:4:1405:20170814,Hasselt,11236,,17,,1
3,000008,88____:049::8831310:8831005:4:1505:20170814,Hasselt,11237,,18,,1
3,000008,88____:049::8831310:8831005:4:1605:20170814,Hasselt,11238,,19,,1
3,000008,88____:049::8831310:8831005:4:1705:20170814,Hasselt,11239,,20,,1
3,000008,88____:049::8831310:8831005:4:1805:20170814,Hasselt,11240,,21,,1
3,000008,88____:049::8831310:8831005:4:1905:20170814,Hasselt,11241,,22,,1
3,000008,88____:049::8831310:8831005:4:2105:20170814,Hasselt,11243,,23,,1
3,000008,88____:049::8831310:8831005:4:2205:20170814,Hasselt,11244,,24,,1
